Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
02-02-1990,8.43551093,-0.02626386,-2.39467535,1.34289398,0.41292006,0.41381023
05-02-1990,8.47084544,-0.021564,-2.48626521,1.25055232,0.40519396,0.40557142
06-02-1990,8.51958354,-0.14999481,-2.39319392,1.34441191,0.45186976,0.45199902
07-02-1990,8.51493502,0.00843199,-2.51866031,1.2200263,0.38977811,0.39120775
08-02-1990,8.48706908,-0.26156849,-2.30637688,1.44151103,0.4682459,0.41001941
09-02-1990,8.33728857,-0.04011875,-2.32328224,1.42155074,0.60876951,0.60907487
12-02-1990,8.42103771,-0.19534776,-2.29317422,1.45119663,0.70408088,0.77550235
13-02-1990,8.4222755,-0.34275076,-2.29922842,1.45127317,0.67365262,0.55322113
14-02-1990,8.39625843,-0.40015229,-2.14840084,1.60238851,0.71140616,0.68120374
15-02-1990,8.42627944,-0.19009079,-2.36613007,1.3894793,0.44712797,0.4472739
16-02-1990,8.44900848,-0.54314936,-1.96073641,1.80718511,0.99193996,0.99015662
20-02-1990,8.62678583,-0.4757915,-2.43743799,1.36705012,0.38409374,0.38370893
21-02-1990,8.63481181,-2.09051058,-0.00861937,3.47766473,0.51411726,0.12458751
22-02-1990,8.52931454,-2.35984736,0.10151769,4.30510383,0.41581149,0.11078974
23-02-1990,8.5385199,-1.55403527,0.03330781,2.48517597,0.54060597,0.1
26-02-1990,8.46558734,-1.25854982,-0.00150219,2.04824881,0.58819424,0.1
27-02-1990,8.41289129,-0.90128109,-0.00464446,1.27736995,0.72646129,0.1
28-02-1990,8.51636536,-1.38695936,0.29589178,2.32800703,0.70830785,0.1
01-03-1990,8.56925014,-1.49820812,0.61983878,2.35345177,0.77395194,0.1119561
02-03-1990,8.49238938,-1.07583332,0.82639165,1.6303773,1.25377755,0.11663068
05-03-1990,8.59344865,-0.90577978,0.82273166,1.03404647,1.74590178,0.12084565
06-03-1990,8.51599824,-0.77943708,0.84270738,0.92629997,1.64872367,0.1
07-03-1990,8.48701079,-0.69947549,0.84339216,0.74018257,1.79858446,0.1
08-03-1990,8.45700197,-0.7090452,0.88544469,1.2200349,1.67051619,0.1
09-03-1990,8.49803902,-0.82122312,1.22636685,0.90820522,1.33359869,0.10012357
12-03-1990,8.54707872,-1.43716233,1.27493067,2.38814117,0.99054264,0.15782823
13-03-1990,8.63160986,-1.44796959,1.2627149,2.38511943,1.02010168,0.14329497
14-03-1990,8.54474862,-1.10545008,1.07388844,1.59613032,1.0181534,0.16025706
15-03-1990,8.52913468,-0.89809625,1.08317601,1.22797243,1.27648553,0.16356471
16-03-1990,8.43598964,-0.57505479,0.98511667,0.72394109,1.48105634,0.11286287
19-03-1990,8.44438019,-0.57310677,0.99826018,0.72525586,1.48181855,0.1002069
20-03-1990,8.31972297,-0.78754333,1.50027726,1.67360075,1.3233022,0.14273439
21-03-1990,8.32491135,-0.9157478,1.54439101,1.9134575,1.32474106,0.15512207
22-03-1990,8.38373606,-0.43252873,0.85044366,0.33041834,1.39794429,0.1
23-03-1990,8.39842121,-0.84655164,1.05562912,1.45864549,1.01781035,0.1
26-03-1990,8.38413813,-1.12141463,1.18213031,1.93235571,1.02104989,0.15841233
27-03-1990,8.37924811,-1.10541989,1.30038429,2.10092727,0.96725898,0.11867323
28-03-1990,8.39448475,-0.85965109,1.07887775,1.3475235,0.96745732,0.12119275
29-03-1990,8.47584523,-0.90653369,0.94948856,1.45840585,0.95263389,0.10000123
30-03-1990,8.55062279,-0.98316705,0.97229825,1.45661795,1.035061,0.1
02-04-1990,8.57130515,-2.11846149,1.43156127,3.71492614,0.77420382,0.13767821
03-04-1990,8.56471879,-2.28353587,1.50115495,4.04438175,0.69776701,0.12102469
04-04-1990,8.44434913,-0.81030658,0.95601409,0.94745737,1.10345582,0.1
05-04-1990,8.45407992,-0.87671579,1.00754278,1.05143203,1.09485705,0.1
06-04-1990,8.44637494,-0.8148769,0.87804362,0.9256226,1.11667656,0.1
09-04-1990,8.46803049,-0.91278072,1.07274875,1.24437937,1.27863955,0.1
10-04-1990,8.48592993,-0.97873655,1.02664999,1.37555226,1.14584244,0.10000001
11-04-1990,8.50770634,-0.98591519,1.03931725,1.3437768,1.23229141,0.1
12-04-1990,8.52187949,-1.14878997,1.10113602,1.51916257,1.1086512,0.11016143
16-04-1990,8.58125463,-1.20729568,1.04241715,1.71315573,1.12012916,0.1
17-04-1990,8.70044979,-2.367562,1.29230498,4.07272999,0.64583096,0.1
18-04-1990,8.81175808,-3.47679832,1.44453276,6.26577853,0.50658145,0.1
19-04-1990,8.82294577,-3.4968658,1.55500937,6.28249305,0.52283316,0.1
20-04-1990,8.89438602,-3.5878981,1.04768557,6.30324223,0.47020408,0.1
23-04-1990,8.92345117,-3.58148826,1.05702128,6.30823004,0.46510037,0.10001871
24-04-1990,8.93564211,-3.59275097,1.44495823,6.10222241,0.48993161,0.1
25-04-1990,8.93567885,-3.51809955,1.7288603,6.08259217,0.53566184,0.1
26-04-1990,8.94505662,-1.95588332,1.62320294,2.57945605,0.8216873,0.1
27-04-1990,8.98409843,-2.08573544,1.09635472,2.30037704,0.53325152,0.10000001
30-04-1990,8.93282565,-1.09213196,0.9259729,0.67937059,0.96587756,0.1
01-05-1990,8.93722897,-1.39890048,1.34161402,1.62581568,1.01772659,0.1
02-05-1990,8.94273249,-1.14345892,1.1814568,1.23316994,1.06854216,0.1
03-05-1990,8.8522298,0.0004719,0.37007537,-1.70843837,2.64909065,0.16740279
04-05-1990,6.5329328,2.05807867,3.50184858,-1.69971945,23.45773556,0.11575988
07-05-1990,6.58379395,2.08844443,3.28828801,-1.48719963,23.32676986,0.20633008
08-05-1990,6.54314453,2.04372484,3.5451669,-1.60243804,19.59902912,0.19436055
09-05-1990,6.63831657,2.04618092,3.51393796,-1.44343493,18.33771915,0.27709611
10-05-1990,6.57817988,2.01310496,3.59407002,-1.72853599,17.82939427,0.19791505
11-05-1990,6.49850902,2.00271664,3.1493197,-1.9324435,21.32573116,0.19344681
14-05-1990,6.44980677,1.97458261,3.24381059,-1.55288709,19.18058983,0.20566934
15-05-1990,6.4872921,1.97238862,3.27412431,-1.45547197,18.58176279,0.2253355
16-05-1990,8.55059395,-0.37758717,0.66272516,-0.83209618,2.67957001,0.20888846
17-05-1990,8.53425743,-0.35454547,0.77246013,-0.96919505,2.62882972,0.21592244
18-05-1990,8.57252176,-0.24548398,0.71139211,-0.95708908,2.81159295,0.25730996
21-05-1990,8.50451222,-0.12095185,0.79956817,-1.39135145,3.93963793,0.18651444
22-05-1990,8.49586303,-0.29642719,0.73385673,-1.06166192,2.71373472,0.18635527
23-05-1990,8.43796335,-0.05443816,0.53891595,-1.50211214,4.39090325,0.21985357
24-05-1990,8.4387181,-0.05814042,0.56142376,-1.39707413,4.60543793,0.235536
25-05-1990,8.563597,-0.05749848,0.34702126,-1.73866667,5.60775988,0.25216639
